"GEO_ID","NAME","P2_001N","P2_001NA","P2_002N","P2_002NA","P2_003N","P2_003NA","P2_004N","P2_004NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Urban","Annotation of  !!Total:!!Urban"," !!Total:!!Rural","Annotation of  !!Total:!!Rural"," !!Total:!!Not defined for this file","Annotation of  !!Total:!!Not defined for this file",
"0500000US05121","Randolph County, Arkansas","18571","null","7164","null","11407","null","0","null",
"0500000US05123","St. Francis County, Arkansas","23090","null","8557","null","14533","null","0","null",
"0500000US05125","Saline County, Arkansas","123416","null","78046","null","45370","null","0","null",
"0500000US05127","Scott County, Arkansas","9836","null","0","null","9836","null","0","null",
"0500000US05129","Searcy County, Arkansas","7828","null","0","null","7828","null","0","null",
"0500000US05131","Sebastian County, Arkansas","127799","null","102655","null","25144","null","0","null",
"0500000US05133","Sevier County, Arkansas","15839","null","5894","null","9945","null","0","null",
"0500000US05135","Sharp County, Arkansas","17271","null","0","null","17271","null","0","null",
"0500000US05137","Stone County, Arkansas","12359","null","0","null","12359","null","0","null",
"0500000US05139","Union County, Arkansas","39054","null","18698","null","20356","null","0","null",
"0500000US05141","Van Buren County, Arkansas","15796","null","0","null","15796","null","0","null",
"0500000US05143","Washington County, Arkansas","245871","null","186859","null","59012","null","0","null",
"0500000US05145","White County, Arkansas","76822","null","33868","null","42954","null","0","null",
"0500000US05147","Woodruff County, Arkansas","6269","null","0","null","6269","null","0","null",
"0500000US05149","Yell County, Arkansas","20263","null","3910","null","16353","null","0","null",
"0500000US06001","Alameda County, California","1682353","null","1674100","null","8253","null","0","null",
"0500000US06003","Alpine County, California","1204","null","0","null","1204","null","0","null",
"0500000US06005","Amador County, California","40474","null","12454","null","28020","null","0","null",
"0500000US06007","Butte County, California","211632","null","167154","null","44478","null","0","null",
"0500000US06009","Calaveras County, California","45292","null","8164","null","37128","null","0","null",
"0500000US06011","Colusa County, California","21839","null","12513","null","9326","null","0","null",
"0500000US06013","Contra Costa County, California","1165927","null","1154266","null","11661","null","0","null",
"0500000US06015","Del Norte County, California","27743","null","15620","null","12123","null","0","null",
"0500000US06017","El Dorado County, California","191185","null","121073","null","70112","null","0","null",
"0500000US06019","Fresno County, California","1008654","null","895029","null","113625","null","0","null",
"0500000US06021","Glenn County, California","28917","null","17000","null","11917","null","0","null",
"0500000US06023","Humboldt County, California","136463","null","93430","null","43033","null","0","null",
"0500000US06025","Imperial County, California","179702","null","146627","null","33075","null","0","null",
"0500000US06027","Inyo County, California","19016","null","11013","null","8003","null","0","null",
"0500000US06029","Kern County, California","909235","null","787826","null","121409","null","0","null",
"0500000US06031","Kings County, California","152486","null","135844","null","16642","null","0","null",
"0500000US06033","Lake County, California","68163","null","40361","null","27802","null","0","null",
"0500000US06035","Lassen County, California","32730","null","8995","null","23735","null","0","null",
"0500000US06037","Los Angeles County, California","10014009","null","9924789","null","89220","null","0","null",
"0500000US06039","Madera County, California","156255","null","95929","null","60326","null","0","null",
"0500000US06041","Marin County, California","262321","null","246548","null","15773","null","0","null",
"0500000US06043","Mariposa County, California","17131","null","0","null","17131","null","0","null",
"0500000US06045","Mendocino County, California","91601","null","47207","null","44394","null","0","null",
"0500000US06047","Merced County, California","281202","null","233963","null","47239","null","0","null",
"0500000US06049","Modoc County, California","8700","null","0","null","8700","null","0","null",
"0500000US06051","Mono County, California","13195","null","7045","null","6150","null","0","null",
"0500000US06053","Monterey County, California","439035","null","376458","null","62577","null","0","null",
"0500000US06055","Napa County, California","138019","null","117695","null","20324","null","0","null",
"0500000US06057","Nevada County, California","102241","null","52956","null","49285","null","0","null",
"0500000US06059","Orange County, California","3186989","null","3179027","null","7962","null","0","null",
"0500000US06061","Placer County, California","404739","null","345723","null","59016","null","0","null",
"0500000US06063","Plumas County, California","19790","null","0","null","19790","null","0","null",
"0500000US06065","Riverside County, California","2418185","null","2285826","null","132359","null","0","null",
"0500000US06067","Sacramento County, California","1585055","null","1547026","null","38029","null","0","null",
"0500000US06069","San Benito County, California","64209","null","49611","null","14598","null","0","null",
"0500000US06071","San Bernardino County, California","2181654","null","2064249","null","117405","null","0","null",
"0500000US06073","San Diego County, California","3298634","null","3153671","null","144963","null","0","null",
"0500000US06075","San Francisco County, California","873965","null","873965","null","0","null","0","null",
"0500000US06077","San Joaquin County, California","779233","null","718832","null","60401","null","0","null",
"0500000US06079","San Luis Obispo County, California","282424","null","228515","null","53909","null","0","null",
"0500000US06081","San Mateo County, California","764442","null","751407","null","13035","null","0","null",
"0500000US06083","Santa Barbara County, California","448229","null","423265","null","24964","null","0","null",
"0500000US06085","Santa Clara County, California","1936259","null","1910722","null","25537","null","0","null",
"0500000US06087","Santa Cruz County, California","270861","null","234855","null","36006","null","0","null",
"0500000US06089","Shasta County, California","182155","null","120602","null","61553","null","0","null",
"0500000US06091","Sierra County, California","3236","null","40","null","3196","null","0","null",
"0500000US06093","Siskiyou County, California","44076","null","12820","null","31256","null","0","null",
"0500000US06095","Solano County, California","453491","null","433282","null","20209","null","0","null",
"0500000US06097","Sonoma County, California","488863","null","422220","null","66643","null","0","null",
"0500000US06099","Stanislaus County, California","552878","null","507705","null","45173","null","0","null",
"0500000US06101","Sutter County, California","99633","null","84623","null","15010","null","0","null",
"0500000US06103","Tehama County, California","65829","null","28285","null","37544","null","0","null",
"0500000US06105","Trinity County, California","16112","null","0","null","16112","null","0","null",
"0500000US06107","Tulare County, California","473117","null","378228","null","94889","null","0","null",
"0500000US06109","Tuolumne County, California","55620","null","29013","null","26607","null","0","null",
"0500000US06111","Ventura County, California","843843","null","815432","null","28411","null","0","null",
"0500000US06113","Yolo County, California","216403","null","198987","null","17416","null","0","null",
"0500000US06115","Yuba County, California","81575","null","57500","null","24075","null","0","null",
"0500000US08001","Adams County, Colorado","519572","null","498576","null","20996","null","0","null",
"0500000US08003","Alamosa County, Colorado","16376","null","10965","null","5411","null","0","null",
"0500000US08005","Arapahoe County, Colorado","655070","null","641552","null","13518","null","0","null",
"0500000US08007","Archuleta County, Colorado","13359","null","5632","null","7727","null","0","null",
"0500000US08009","Baca County, Colorado","3506","null","0","null","3506","null","0","null",
"0500000US08011","Bent County, Colorado","5650","null","0","null","5650","null","0","null",
"0500000US08013","Boulder County, Colorado","330758","null","299658","null","31100","null","0","null",
"0500000US08014","Broomfield County, Colorado","74112","null","73819","null","293","null","0","null",
